,Company,Contact,Country,Price,Item
0,Modish Mannequins,51703550376,Lebanon,69092₽,library
1,Beauty Bar,51159943448,Lebanon,39621₽,newspaper
2,Fashion Fusion,5011873145,Brunei,26842₽,weakness
3,Stellar Stitches,67729743989,Argentina,59591₽,language
4,Trendsetting Tailors,47711370366,France,73216₽,classroom
5,Modern Maven,56272070226,Libya,79461₽,perception
6,Makeup Maven,59604087611,Indonesia,72452₽,concept
7,Classy Chic,95566778524,Dominican Republic,43965₽,mixture
8,Brow Boosters,70842109673,Central African Republic,28345₽,sample
9,Stylish Silhouettes,13551645282,China,42657₽,employment
10,Beauty Bar,533620928,Brunei,29990₽,thanks
11,Modern Maven,87711130490,Nauru,58815₽,enthusiasm
12,Glamour Galore,41446511866,Estonia,55690₽,fishing
13,Nail Nook,50823274396,Papua New Guinea,34162₽,buyer
14,Fine Fabrics,50551461080,Honduras,80089₽,emphasis
15,Fine Fabrics,17465180891,Togo,91887₽,enthusiasm
16,Crisp Creations,37124055992,Yemen,59467₽,cell
17,Fashion Fusion,75715375180,Sudan,23236₽,administration
18,Modish Mannequins,69909470503,Malaysia,93872₽,awareness
19,Nail Nook,134924072,Uruguay,15517₽,truth
20,Nail Nook,54604240857,Guinea-Bissau,37062₽,cookie
21,Glow Getter,2037261111,Romania,49504₽,agreement
22,Elegant Ensembles,87509349752,Syria,56570₽,stranger
23,Sleek Styles,67383791138,Malaysia,80616₽,emphasis
24,Modish Mannequins,5845655908,Lithuania,72082₽,love
25,Stellar Stitches,65793981937,"Congo, Republic of the",25521₽,mixture
26,Glamour Galore,98524544610,Pakistan,31661₽,payment
27,Haute Hues,30532580113,Eritrea,17562₽,dad
28,Trendy Threads,81328554289,Tunisia,58017₽,explanation
29,Glow Getter,31577877680,Kenya,38329₽,distribution
30,Glamour Galore,59348828592,Nicaragua,19910₽,breath
31,Fashion Forward,75474766347,Suriname,61291₽,data
32,Chic Couture,86359022645,El Salvador,91485₽,woman
33,Trendsetting Tailors,40689280306,"Korea, North",11815₽,payment
34,Beauty Bar,39903852284,Eritrea,45253₽,passenger
35,Elite Elegance,51283354031,Ghana,88024₽,series
36,Elegant Ensembles,57283787583,South Africa,58456₽,weakness
37,Dapper Designs,92811112358,Italy,88846₽,contract
38,Stylish Silhouettes,61466168961,Russia,76493₽,signature
39,Trendsetting Tailors,90586930064,Grenada,19513₽,dealer
40,Body Bliss,78388414285,Niger,65257₽,drama
41,Urban Upmarket,64716735357,Argentina,15501₽,dad
42,Makeup Maven,91262462867,Tunisia,71329₽,departure
43,Glamour Galore,73534865848,"Korea, North",73445₽,organization
44,Stellar Stitches,19488923141,Trinidad and Tobago,21579₽,republic
45,Sophisticated Sewing,36119568727,Peru,28431₽,sample
46,Classy Chic,31112730527,Uruguay,92721₽,newspaper
47,Salon Suites,67234665280,Syria,75179₽,data
48,Wellness World,70795653002,China,21911₽,computer
49,Beauty Bar,9339041409,Niger,73958₽,fishing
50,Fashion Forward,81143237769,Singapore,46458₽,truth
51,Makeup Maven,16692127170,Netherlands,10599₽,concept
52,Modish Mannequins,13827724649,Benin,15290₽,description
53,Stylish Silhouettes,21172368109,Israel,70433₽,explanation
54,Elegant Ensembles,38754153474,Bhutan,58117₽,midnight
55,Body Bliss,4367810148,Bosnia and Herzegovina,97622₽,construction
56,Makeup Maven,30554594213,Brazil,94602₽,midnight
57,Salon Suites,68486215692,Netherlands,20575₽,contribution
58,Elegant Ensembles,43601954974,New Zealand,27039₽,context
59,Stylish Silhouettes,25666632657,Guatemala,58879₽,elevator
60,Smart Styles,32497596192,Belgium,35705₽,administration
61,Body Bliss,90591658523,South Sudan,81703₽,pie
62,Refined Rags,1267624472,Tajikistan,98223₽,classroom
63,Sophisticated Sewing,55132564302,Bangladesh,24231₽,passenger
64,Brow Boosters,68801061008,Argentina,55909₽,secretary
65,Haute Hues,47532969714,Libya,67117₽,family
66,Chic Couture,66196763986,Switzerland,26574₽,payment
67,Skin Studio,93809422948,Australia,32663₽,community
68,Salon Suites,22424655733,Togo,28911₽,analyst
69,Skin Studio,72674238339,Oman,85866₽,revolution
70,Clipper Cuts,84894243055,Ireland,71752₽,contribution
71,Stellar Stitches,22512792236,Rwanda,40933₽,series
72,Fashion Forward,34169477367,Romania,64479₽,refrigerator
73,Brow Boosters,68819986401,Nigeria,46224₽,office
74,Chic Couture,82811689247,Cape Verde,38664₽,contract
75,Salon Suites,53833355606,Lebanon,84357₽,refrigerator
76,Dapper Designs,19570767233,Mongolia,31841₽,cookie
77,Stylish Silhouettes,40414165173,China,93729₽,emphasis
78,Elite Elegance,4687494101,Tonga,18665₽,agreement
79,Trendy Threads,45839834124,Grenada,12146₽,midnight
80,Elegant Ensembles,59824270462,Afghanistan,98385₽,drama
81,Salon Suites,3459285630,Burundi,23011₽,pizza
82,Beauty Bar,69804860041,Palau,90497₽,basket
83,Trendsetting Tailors,81605058730,Oman,43766₽,payment
